col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
487,352,32,566,883,855,534,635,462,441,340,959,172,48,808,872,440,483,500,851
787,302,3,835,459,637,194,484,214,312,981,877,627,67,201,606,252,843,61,493
470,271,902,211,486,21,98,226,348,162,376,635,257,843,440,926,524,506,654,414
2,543,21,415,513,281,89,526,152,126,434,150,700,317,87,508,591,906,37,783
733,543,404,644,122,466,343,597,849,641,308,706,39,772,829,549,490,338,702,46
789,171,669,33,632,958,564,311,485,152,879,253,388,224,464,105,378,932,201,419
87,385,362,749,785,837,513,741,462,478,215,761,714,300,110,96,893,515,954,706
155,338,634,437,698,203,891,148,456,425,451,324,715,568,322,127,480,590,694,312
952,460,417,2,298,725,636,461,429,100,971,847,861,248,26,174,814,223,717,626
85,639,212,800,641,33,622,841,338,248,333,680,258,824,100,863,932,70,28,430
11,57,822,305,314,144,639,740,846,274,933,118,608,285,856,237,221,303,677,769
427,193,56,147,699,450,540,195,483,956,165,805,476,585,941,676,399,934,884,382
606,199,313,747,838,376,351,550,494,114,430,957,971,798,335,378,730,744,126,896
650,502,819,529,398,122,670,439,684,6,228,226,361,194,481,157,268,628,85,465
997,73,504,103,416,894,833,443,213,134,270,594,311,856,345,740,706,342,350,647
107,490,132,313,815,593,630,962,389,864,837,435,60,18,762,224,570,18,285,83
926,795,924,587,673,109,138,386,236,949,396,19,62,552,430,700,657,745,426,216
817,630,706,386,111,754,536,301,429,738,140,19,141,706,686,381,665,481,733,747
245,746,559,256,10,764,301,151,486,576,279,477,150,586,846,0,384,336,552,842
890,671,568,300,369,971,444,864,57,795,507,191,890,587,491,700,800,648,911,860
676,114,480,332,837,150,638,47,288,350,271,13,998,607,233,451,87,861,317,89
215,377,360,128,81,666,411,879,267,463,563,866,268,409,604,811,696,960,36,877
804,961,112,601,7,420,822,880,123,333,347,259,65,892,560,430,630,173,439,701
2,206,986,911,145,948,762,511,483,689,615,671,546,859,475,343,359,813,543,528
745,363,712,105,698,794,543,763,966,638,657,392,41,161,842,624,186,574,580,740
353,938,536,927,207,512,469,970,261,496,673,217,429,986,713,723,720,814,144,308
901,917,324,540,957,120,767,683,939,109,378,97,429,669,524,83,949,390,100,132
425,728,948,452,250,846,903,556,372,687,482,245,104,904,107,341,177,211,778,798
87,585,35,535,305,572,151,683,767,949,639,785,111,857,23,293,533,15,368,217
198,397,424,340,271,790,323,505,41,129,117,257,493,896,583,346,704,826,37,799
486,424,713,130,668,782,999,855,711,29,482,512,827,288,43,481,480,354,638,916
342,317,804,378,475,135,939,809,3,428,673,194,77,482,881,315,385,686,16,875
502,519,960,415,653,55,379,247,12,452,713,812,720,412,440,791,317,479,52,30
771,783,896,918,282,471,14,880,724,329,401,731,946,271,460,689,305,778,542,496
312,595,141,744,634,57,365,337,246,533,467,334,911,115,608,777,33,991,620,826
59,94,777,44,751,198,379,281,243,377,791,646,566,103,808,859,863,177,494,352
270,557,519,298,320,523,192,395,681,749,177,882,37,216,307,293,817,616,828,733
313,61,585,821,910,857,651,40,710,411,724,601,371,729,997,499,164,951,16,543
617,382,98,504,494,927,439,464,596,298,49,58,733,968,374,688,541,650,275,969
698,259,636,18,909,988,274,424,301,745,113,129,682,299,944,512,133,271,647,481
395,298,649,439,148,152,752,746,661,187,581,91,422,214,957,200,881,629,405,633
856,383,421,268,271,141,995,203,898,681,668,714,550,871,493,42,336,596,579,458
440,177,883,298,767,688,592,389,834,825,812,757,98,359,127,660,272,106,118,199
951,105,987,338,614,814,200,247,859,876,212,829,980,67,811,78,599,69,428,315
338,54,53,410,697,169,676,129,241,426,575,259,811,357,841,459,599,327,389,211
609,710,120,541,213,465,69,936,746,518,643,375,300,480,309,561,525,414,197,80
855,910,661,636,66,438,860,558,563,170,517,975,578,483,490,812,320,950,304,290
760,412,30,127,250,877,572,878,292,560,944,49,253,159,995,890,274,516,924,26
848,300,541,850,48,288,45,831,591,998,616,744,366,205,923,348,59,609,705,157
738,920,339,137,82,885,326,795,160,803,7,687,379,256,896,639,875,497,603,620
337,122,193,935,676,893,622,259,926,156,452,521,831,705,943,253,524,427,449,886
333,232,151,110,331,796,258,306,824,511,931,772,787,740,666,426,761,751,333,527
724,545,281,961,792,596,492,630,573,520,831,202,618,434,385,790,108,326,404,109
968,566,912,149,21,747,467,622,539,595,648,616,223,395,15,429,865,281,635,907
921,495,901,253,572,695,597,736,780,849,985,91,914,48,250,813,997,694,916,26
776,355,967,154,766,267,556,983,831,31,308,26,263,86,59,122,196,13,54,993
694,807,320,819,850,597,751,132,775,981,885,141,942,164,688,978,432,269,491,332
84,725,468,815,85,147,253,896,53,699,756,988,248,911,119,688,845,62,595,598
154,888,778,574,199,415,751,361,111,761,326,57,539,499,180,909,289,413,309,707
479,752,302,715,139,220,29,174,538,733,559,65,373,637,475,113,471,413,619,363
709,6,550,136,900,5,915,7,376,431,87,926,32,977,917,180,682,125,833,727
368,30,532,702,292,224,370,325,510,583,969,937,269,360,760,285,543,895,44,365
261,950,741,19,316,492,3,851,617,809,176,215,848,962,369,892,113,887,24,147
49,950,574,212,456,689,448,10,21,965,338,857,960,14,809,205,57,208,940,234
85,58,649,113,926,888,470,573,743,707,730,580,416,575,275,118,380,161,472,48
421,231,678,257,395,869,584,40,645,564,249,404,256,207,438,564,346,611,682,627
850,231,356,461,481,336,486,778,192,928,530,392,333,125,797,428,893,264,316,517
470,895,310,159,421,22,340,884,581,483,634,509,152,313,598,422,538,704,31,181
196,415,297,577,627,35,642,865,479,29,445,123,579,991,289,147,453,348,958,868
885,428,705,133,538,463,881,693,160,755,228,989,599,426,494,88,688,475,916,842
991,844,730,873,95,174,44,785,90,318,454,509,548,644,620,700,517,489,303,673
127,833,416,844,306,194,817,771,62,909,165,342,42,111,982,648,148,980,730,722
210,200,142,676,203,502,72,7,980,339,273,325,375,873,368,468,633,13,154,523
428,360,165,288,762,408,236,786,573,259,648,654,825,771,161,974,870,351,711,431
985,907,631,996,362,843,693,199,949,740,483,669,935,338,881,570,730,428,933,686
284,475,604,319,289,544,296,976,949,896,542,536,56,806,9,665,843,371,817,722
690,472,494,663,251,175,455,599,964,267,300,393,537,518,901,188,127,927,138,682
845,904,760,256,986,548,412,556,251,296,45,26,375,706,758,808,490,936,980,767
429,663,554,660,464,766,358,253,738,770,643,466,868,474,252,676,902,888,310,840
59,135,744,705,429,898,279,848,516,256,945,321,117,966,192,402,783,104,415,500
474,334,942,156,370,643,226,220,614,277,96,271,820,204,15,85,946,425,685,732
640,594,400,871,689,353,364,223,955,174,143,317,971,432,937,404,552,428,296,914
2,486,429,15,927,759,236,510,225,867,124,351,339,448,402,92,634,617,156,719
5,891,544,440,298,330,789,175,391,563,888,423,605,499,776,998,671,802,357,847
869,912,863,669,237,197,146,958,409,55,591,976,644,595,763,24,681,214,652,55
506,83,919,780,125,611,879,333,908,854,278,577,900,622,716,701,894,284,544,304
130,388,180,148,289,891,258,977,220,277,992,415,368,394,420,247,462,129,670,820
421,747,376,459,366,220,103,763,38,189,781,249,338,875,94,564,925,632,85,884
690,744,594,487,200,589,980,854,712,209,544,881,568,694,15,271,679,14,283,780
713,763,997,822,988,619,627,921,2,695,276,896,934,423,480,688,733,464,160,111
578,504,7,148,744,203,580,525,821,629,709,649,994,394,560,60,58,93,341,27
591,798,451,643,438,186,353,768,389,553,414,387,703,213,657,423,339,909,713,177
501,82,157,505,228,760,465,459,854,361,293,195,578,579,68,235,301,783,518,87
623,870,67,70,721,198,477,15,467,45,420,510,651,357,626,861,130,71,165,290
594,570,283,227,312,112,795,915,11,353,632,59,190,598,791,787,980,678,271,340
711,963,58,814,459,386,473,742,817,279,338,389,963,654,866,267,690,45,275,396
718,588,965,249,592,579,365,837,439,566,42,683,435,938,240,787,924,975,896,379
926,717,314,426,831,33,889,490,201,504,351,440,864,829,933,865,859,573,431,943
484,639,428,437,82,670,87,293,562,829,54,351,124,63,646,894,84,813,174,416
611,103,270,486,157,530,918,735,398,478,548,695,398,105,214,948,994,724,1,144
186,637,516,391,418,881,286,413,659,244,397,91,950,917,884,276,788,84,290,724
130,657,459,81,241,634,334,999,424,371,527,373,371,900,342,261,790,487,879,175
915,830,544,923,953,994,897,77,247,404,299,955,572,478,354,408,70,733,257,279
941,568,30,327,701,595,787,449,39,120,650,346,953,206,117,71,726,351,497,357
661,376,890,901,578,855,149,229,777,408,19,802,162,805,935,642,150,954,804,722
236,732,811,829,937,3,918,464,464,220,287,982,885,77,495,161,398,305,862,635
995,350,440,22,682,173,754,189,650,274,23,645,412,744,417,587,398,336,446,17
34,256,240,459,577,643,128,28,413,514,303,217,644,402,194,668,584,839,662,91
799,410,923,71,859,352,160,818,859,323,609,60,869,437,241,241,343,459,792,504
369,193,822,281,992,920,204,260,610,601,256,250,288,66,164,639,131,645,988,958
625,126,537,181,766,183,398,507,618,681,611,292,15,245,5,172,393,885,66,57
982,596,383,275,109,414,237,169,111,848,512,964,251,806,120,471,469,721,843,384
120,872,846,457,524,294,246,954,524,144,529,788,457,578,842,981,78,943,887,287
643,366,429,828,17,151,330,954,415,794,798,609,31,907,609,590,30,57,992,711
612,473,262,125,25,705,699,733,924,399,156,188,466,495,491,287,953,122,403,900
392,130,634,660,717,544,837,795,644,155,950,115,303,739,368,269,979,954,698,593
560,238,336,276,13,113,876,171,758,834,27,691,608,508,874,149,828,650,527,661
410,822,455,537,303,513,753,674,484,959,530,633,120,198,761,205,724,469,861,742
605,249,422,719,236,467,381,84,30,327,255,833,265,859,312,899,186,624,419,161
490,703,617,861,994,585,697,869,552,721,988,112,230,5,399,741,188,718,271,22
568,930,524,180,195,953,663,230,374,736,395,972,571,821,270,774,9,619,144,648
660,298,152,980,841,486,571,85,172,177,639,888,359,461,338,560,553,151,610,32
686,143,880,52,49,372,784,55,103,422,207,223,35,282,608,732,957,385,906,9
644,817,503,910,441,571,151,906,150,80,838,226,394,551,661,872,98,520,614,771
355,919,415,331,872,879,544,605,9,59,854,138,631,332,516,220,834,479,930,270
563,116,376,348,975,181,56,496,123,503,267,95,354,367,345,528,638,706,162,998
220,882,214,536,357,546,347,149,975,90,997,943,903,698,574,257,293,244,195,811
536,638,799,965,457,938,62,942,37,205,374,2,851,718,625,971,778,939,49,165
159,881,445,533,712,44,527,544,16,365,20,296,489,272,42,511,989,388,729,675
525,430,9,646,286,455,998,849,793,954,705,406,223,494,290,760,324,563,446,20
872,442,354,622,233,41,289,41,642,968,299,465,554,161,985,205,218,705,657,706
198,621,379,969,759,665,399,583,913,574,261,627,924,737,210,654,78,441,995,611
617,204,520,455,391,502,635,258,12,970,674,666,195,11,156,786,18,185,926,396
453,607,692,492,760,192,64,370,232,979,522,86,952,678,888,975,90,731,591,789
940,633,888,575,217,85,286,921,453,304,857,953,208,476,260,849,89,733,345,567
175,598,291,57,635,719,830,86,849,114,699,788,755,69,680,887,99,796,474,454
699,861,411,386,868,941,587,314,500,985,986,721,98,451,233,905,689,814,333,409
657,57,226,679,361,243,582,576,100,214,324,479,52,786,697,270,693,79,174,251
356,578,669,583,98,486,696,337,604,904,171,75,508,726,36,422,307,865,806,358
99,742,874,76,673,237,932,990,166,485,119,140,559,661,259,432,883,926,639,229
74,541,267,529,60,842,588,6,198,352,477,2,392,119,546,122,87,124,140,372
487,567,408,912,140,410,33,710,342,617,237,165,363,182,493,33,42,735,465,465
529,375,752,15,198,127,15,253,815,526,403,419,960,579,63,196,335,811,88,514
773,352,45,244,871,247,554,260,248,288,889,640,727,261,901,474,291,837,721,701
713,710,263,468,512,431,311,755,386,775,419,441,720,770,768,452,197,778,404,291
973,397,654,487,716,765,501,885,793,596,65,138,274,390,849,312,500,252,651,663
741,574,644,521,350,85,479,888,304,543,125,120,365,982,43,523,785,723,728,814
898,761,381,413,534,571,400,903,959,930,565,487,165,837,411,372,873,939,295,292
711,631,573,625,540,122,642,659,982,951,10,246,137,718,797,881,879,482,276,64
638,583,656,620,130,517,431,200,496,886,473,984,427,356,793,729,490,55,121,0
963,893,329,137,965,623,714,735,773,312,287,76,888,994,354,721,982,908,744,447
801,167,970,97,263,496,400,94,597,465,79,30,15,120,998,915,281,268,681,191
635,359,296,778,538,94,878,485,491,2,356,150,21,762,400,802,67,772,412,872
986,190,472,760,663,794,861,442,475,548,87,425,757,274,174,203,61,34,175,277
905,945,386,81,741,64,857,543,42,830,348,844,240,741,200,62,297,991,415,321
80,264,83,346,726,397,343,236,19,155,556,448,263,202,615,784,200,196,642,584
179,788,79,834,67,952,698,38,67,966,685,10,265,930,930,266,961,603,607,771
255,714,491,857,202,172,223,942,503,499,55,477,815,577,230,575,641,421,681,315
493,714,910,886,927,194,452,725,761,928,11,305,364,995,334,649,289,639,212,415
341,281,704,685,852,974,690,242,472,973,864,718,346,18,484,579,880,674,417,830
565,762,836,239,871,102,934,456,33,658,631,125,464,671,739,461,49,50,792,477
265,508,585,673,407,422,365,979,636,429,754,192,217,249,146,512,332,451,423,909
866,309,295,456,45,156,810,951,203,522,393,66,856,661,871,549,706,200,382,391
318,344,85,765,196,622,601,392,816,772,648,22,0,385,178,869,140,0,856,985
25,30,392,723,938,130,665,296,430,990,894,746,895,349,428,882,99,898,85,807
742,809,319,563,606,893,436,495,561,535,848,96,276,538,539,870,601,294,43,573
567,160,746,566,119,793,204,778,748,843,444,984,564,732,15,772,38,337,192,209
118,56,837,964,496,873,381,442,150,310,837,359,583,247,977,101,431,928,15,513
518,869,592,153,778,849,139,761,287,793,193,417,750,879,554,544,504,277,347,331
128,642,577,209,389,197,367,922,504,227,343,37,269,957,84,738,611,902,769,404
807,162,428,366,895,140,880,773,933,799,876,762,900,804,767,436,571,853,217,850
126,990,457,447,515,550,92,898,83,177,763,444,836,748,201,258,608,790,438,855
812,589,456,696,899,575,269,793,931,565,953,974,885,108,794,893,885,417,845,912
869,31,980,253,820,203,910,94,501,889,642,204,467,573,464,885,774,510,89,636
542,268,601,34,490,319,176,668,546,857,755,273,544,252,802,984,766,612,237,938
848,555,391,68,16,75,221,930,6,523,30,761,370,401,536,147,704,951,196,268
727,204,529,696,986,804,696,283,513,245,923,765,335,9,177,686,859,413,340,639
978,607,485,666,992,982,199,652,189,63,900,717,747,481,416,219,610,837,415,552
720,11,255,552,563,588,679,259,181,305,733,999,807,835,108,819,186,417,83,677
513,470,153,104,15,124,106,115,786,121,595,212,793,679,870,512,618,122,36,429
982,14,341,834,190,823,679,141,219,312,514,933,873,138,639,379,642,297,901,553
866,971,488,334,668,645,741,132,639,270,858,627,715,889,46,502,136,286,589,613
401,259,263,600,879,320,87,747,837,31,854,291,374,631,353,408,904,704,291,103
825,458,108,61,715,220,726,390,17,931,512,984,940,835,528,334,387,664,664,298
913,636,28,206,377,483,714,666,723,77,694,920,658,625,937,214,801,44,390,49
866,162,766,35,403,330,548,967,594,27,858,331,78,127,870,84,220,441,346,666
700,485,100,611,3,525,80,706,920,994,860,379,89,246,228,925,734,220,193,254
981,909,552,901,245,431,959,539,731,561,548,535,563,600,152,466,627,660,160,696
293,547,305,204,909,846,498,994,786,567,170,390,778,546,426,789,624,178,854,614
971,983,904,895,919,576,726,344,127,69,384,753,98,732,779,277,226,315,308,747
794,132,165,389,447,814,736,63,259,136,740,635,957,424,888,880,472,534,375,578
682,353,120,476,459,671,954,743,514,203,170,916,813,386,337,238,804,917,36,924
914,110,228,165,929,264,926,57,834,522,548,157,480,424,998,623,511,797,98,665
810,576,989,730,725,460,462,518,571,210,536,680,838,968,766,671,659,238,996,424
668,241,321,95,516,124,357,67,91,711,472,680,255,79,524,959,704,50,441,150
933,452,709,120,756,170,945,866,635,401,351,64,422,620,97,448,409,206,45,228
496,721,692,718,471,486,696,580,661,403,305,179,733,379,277,242,815,103,651,994
738,133,530,676,59,693,240,883,354,242,539,173,247,580,449,313,655,831,39,83
391,243,78,319,331,798,567,809,486,10,69,895,280,101,199,122,855,234,921,185
733,612,187,325,580,727,286,923,537,492,395,374,44,368,49,637,105,228,324,943
653,133,978,729,48,74,975,136,223,453,732,919,609,869,408,192,82,410,699,577
219,869,914,136,830,667,34,2,98,789,744,755,556,824,515,163,651,344,113,345
983,231,760,428,542,49,593,302,269,74,34,719,473,492,152,536,368,545,716,318
412,195,675,866,322,882,92,566,578,621,363,551,554,446,277,535,549,526,447,90
859,841,239,92,266,416,102,587,540,96,65,583,973,816,832,689,426,824,361,238
805,112,750,924,989,536,864,270,344,912,626,104,439,942,679,600,20,154,522,311
548,4,563,490,234,745,716,209,487,248,489,693,730,383,237,756,37,229,871,253
735,50,56,859,860,632,442,733,880,162,862,639,450,634,77,520,568,654,664,121
142,655,592,307,148,641,234,391,754,762,169,425,604,424,353,996,68,443,251,389
510,4,894,624,597,392,116,215,196,505,307,942,519,763,96,736,449,150,211,997
369,832,834,11,989,465,750,603,19,599,589,865,636,950,91,464,345,281,206,934
650,561,732,715,967,265,14,858,828,858,204,211,755,572,523,855,969,960,401,468
991,623,870,548,611,791,251,646,490,805,582,644,556,637,171,156,638,542,464,834
106,672,913,418,687,191,882,733,582,169,709,937,706,425,716,747,858,55,288,636
182,543,233,400,236,85,510,635,581,227,424,575,884,716,121,846,387,221,78,950
928,696,258,266,553,0,996,785,240,854,779,206,316,430,554,910,609,837,423,480
453,972,616,281,455,752,313,395,415,861,736,684,72,957,184,863,890,760,264,491
415,170,662,479,949,877,531,221,14,282,842,942,605,275,225,561,618,86,923,486
292,71,744,743,115,343,619,223,965,478,85,351,966,701,507,962,120,379,98,306
494,486,872,417,861,663,295,657,180,151,394,692,78,479,535,730,45,394,764,208
411,558,837,951,689,562,667,983,664,797,522,70,685,285,527,399,613,79,871,280
39,611,584,940,981,831,213,130,789,289,713,494,889,287,951,938,394,207,711,253
260,558,335,437,171,381,596,205,549,972,444,304,672,726,247,942,39,487,718,268
182,928,32,49,314,676,882,364,279,503,191,304,122,933,63,758,264,380,730,726
767,464,688,899,561,214,770,185,884,446,874,851,590,697,823,814,999,259,49,161
98,934,324,25,342,430,60,410,692,428,930,305,942,926,585,364,736,21,209,336
187,628,899,974,766,372,640,832,451,454,97,207,696,26,54,998,229,772,242,995
838,621,143,838,651,100,738,179,247,632,508,103,678,383,618,106,326,429,692,810
370,914,186,564,531,60,15,24,629,749,695,403,428,581,147,571,734,465,853,626
729,141,227,934,540,305,339,380,809,960,947,343,123,568,945,795,415,246,948,922
622,994,836,569,354,361,866,886,932,992,951,448,751,153,989,135,223,278,738,452
520,556,917,281,433,955,595,817,817,596,590,764,52,540,818,517,401,937,374,934
201,432,331,503,815,886,196,418,730,700,95,931,45,452,622,960,811,899,710,588
158,909,516,603,371,928,790,535,91,19,90,679,167,54,796,632,737,945,64,500
201,903,251,42,333,205,549,940,812,738,538,882,449,697,947,400,381,161,536,250
767,910,758,936,541,815,29,316,474,376,234,674,857,135,83,184,562,305,690,853
976,597,42,262,540,159,998,245,361,600,53,965,209,368,455,667,243,673,632,836
929,238,382,100,508,912,192,309,356,399,936,959,333,480,692,616,742,538,378,601
648,460,485,32,931,676,312,860,783,250,827,878,653,916,513,97,424,587,680,264
50,427,775,428,771,426,296,577,884,771,308,867,728,757,102,375,158,388,368,285
503,336,750,219,362,494,288,695,518,37,584,664,256,472,608,642,171,777,151,420
644,213,282,20,331,250,460,296,863,657,33,915,889,983,835,817,440,571,638,524
135,918,31,185,918,86,138,175,355,365,39,727,508,238,109,864,876,539,994,590
678,620,444,282,640,951,427,152,227,710,149,747,808,155,724,820,903,988,166,966
347,751,382,124,996,155,714,850,808,555,558,183,489,901,281,486,192,922,420,915
182,882,0,313,371,336,119,125,110,245,130,120,372,46,292,491,515,732,484,29
531,408,837,975,416,713,802,123,246,590,794,754,757,157,260,577,706,593,227,204
74,868,506,751,755,941,843,104,737,786,275,934,731,910,312,843,497,176,672,769
783,249,378,928,431,926,745,463,194,106,32,795,343,284,429,679,391,484,799,150
604,921,116,618,994,704,442,875,173,397,193,634,323,329,564,645,599,891,822,774
442,908,977,770,384,100,600,331,169,101,795,516,745,330,303,979,142,487,397,187
195,895,476,509,314,760,299,34,883,396,394,899,242,26,968,872,245,761,132,593
335,398,852,911,413,861,707,911,268,726,461,225,253,567,376,885,666,130,369,717
6,634,647,240,870,776,120,694,103,52,860,743,869,108,688,739,884,961,474,543
466,399,982,362,119,443,340,537,589,839,413,875,154,774,195,693,928,260,633,766
157,431,191,685,841,969,58,365,369,167,903,169,858,722,392,684,503,82,456,189
500,922,181,488,695,642,848,719,105,962,520,978,646,392,115,172,350,977,102,254
460,588,215,819,925,778,762,166,944,613,42,258,331,622,456,336,973,481,501,789
67,463,444,124,315,489,31,304,940,215,798,841,308,386,296,996,84,109,890,930
783,288,209,210,551,629,559,676,774,71,233,210,80,290,172,635,518,235,367,456
258,236,923,288,182,373,294,785,612,305,554,392,424,708,340,714,158,936,17,322
924,598,503,333,483,585,124,228,18,785,92,96,285,445,730,819,642,621,531,731
723,383,299,636,572,146,270,738,947,641,261,73,826,618,914,286,552,401,942,729
656,994,331,362,258,484,796,894,247,624,50,430,260,55,884,280,133,724,772,899
548,546,39,423,355,874,151,777,354,676,663,187,891,812,475,546,21,76,744,957
572,861,743,782,870,364,605,804,350,471,244,240,698,145,172,163,192,823,731,33
873,18,878,136,454,6,923,308,838,868,451,14,268,86,234,137,508,20,286,465
437,505,173,516,974,764,996,417,174,752,864,718,250,285,513,359,347,320,678,396
479,370,645,405,318,622,439,234,881,478,325,881,429,314,497,12,831,695,463,609
139,599,601,847,639,663,26,218,354,63,964,280,837,406,762,150,343,260,21,345
492,756,504,876,296,272,24,581,324,320,828,641,577,389,907,918,218,931,994,787
588,661,683,287,880,201,257,117,792,376,1,136,452,650,416,370,445,709,938,873
418,938,29,996,436,463,97,634,733,195,899,905,892,907,252,176,432,214,239,661
213,516,579,180,633,76,438,88,980,867,825,69,138,204,671,15,979,857,318,742
552,64,264,613,931,969,325,96,454,612,69,30,555,410,655,419,850,16,506,924
125,101,449,359,926,318,412,244,272,721,84,462,879,753,0,492,16,592,615,595
902,386,286,740,4,14,808,981,320,548,307,262,836,822,219,162,35,129,617,7
641,438,233,662,471,768,432,4,81,428,461,252,156,653,329,630,13,967,701,882
577,57,828,248,458,93,128,292,870,827,629,902,353,133,968,971,242,181,403,742
67,376,912,380,645,953,559,204,481,809,769,237,411,91,94,707,331,603,761,743
896,560,61,891,572,687,851,982,257,250,780,497,586,114,556,674,887,274,65,589
612,109,678,188,443,500,373,944,987,379,13,996,801,929,718,443,462,266,146,402
589,973,945,140,661,598,829,522,285,691,0,493,266,855,19,106,252,115,346,868
579,898,2,290,33,166,198,146,915,917,701,49,299,330,728,97,635,491,871,31
720,785,646,735,924,731,764,907,783,418,139,122,477,35,756,413,205,63,678,710
649,796,688,614,696,721,125,931,186,760,184,218,58,790,575,453,131,579,529,312
884,889,417,191,716,614,207,127,920,3,10,19,317,676,923,317,112,410,331,524
198,87,855,916,915,331,160,567,770,388,667,45,909,642,735,272,757,54,973,942
237,99,750,514,463,821,869,449,500,696,331,565,592,69,388,514,854,730,761,78
107,553,450,9,718,16,97,588,608,846,65,940,38,660,336,321,572,778,393,992
412,547,212,211,708,693,367,820,117,471,91,396,201,688,613,68,185,311,222,903
271,769,123,860,34,500,882,360,864,838,692,538,868,877,818,66,323,194,637,966
46,13,411,174,174,418,902,284,907,333,699,935,418,493,954,714,319,552,356,530
374,202,305,77,757,52,450,818,186,11,885,502,201,911,256,635,495,117,175,239
152,342,301,870,855,78,307,34,447,638,767,696,791,573,489,662,277,799,220,692
14,461,818,636,914,96,933,336,885,419,100,814,274,508,348,497,307,460,14,243
561,861,730,954,407,532,298,391,564,296,488,330,973,687,76,305,246,44,615,216
397,136,519,563,310,629,811,814,448,859,861,895,783,60,223,985,653,426,996,994
507,705,989,177,108,488,555,888,348,862,503,248,657,477,154,819,788,192,675,878
651,29,833,725,514,122,568,333,415,887,841,966,516,559,18,991,134,420,474,778
903,600,759,621,439,174,11,967,955,167,809,753,184,296,314,379,431,340,347,685
793,224,511,468,965,601,280,682,852,720,386,996,6,548,23,556,271,824,962,359
487,238,913,632,975,326,296,874,969,603,421,253,657,48,951,450,898,514,373,496
36,668,860,413,732,651,146,448,511,374,657,729,756,552,340,756,568,582,333,393
143,807,838,883,601,609,751,71,986,986,378,588,79,565,490,611,27,752,626,125
807,705,134,929,766,539,654,379,377,17,693,35,404,405,267,349,634,975,473,542
857,682,920,102,35,860,114,169,720,13,226,940,320,304,63,709,912,204,770,268
225,39,241,85,42,779,312,619,331,169,667,607,902,962,877,287,629,490,595,384
84,432,792,608,288,357,540,517,763,246,257,273,191,517,637,352,236,712,200,678
518,284,793,134,512,12,702,467,507,97,344,67,346,565,255,855,613,3,260,664
614,556,873,255,548,591,191,310,39,621,583,839,811,591,281,221,193,12,64,784
302,338,591,429,729,967,386,519,163,628,645,184,606,844,639,122,250,904,360,146
236,771,812,754,841,140,22,658,877,245,576,924,618,342,260,303,769,9,762,356
811,323,45,771,787,463,31,585,98,25,25,732,825,492,835,916,281,927,671,877
280,458,869,261,866,31,902,343,25,996,560,666,343,761,373,417,367,29,810,838
